SCORE: total_score avg_degree complex_normalized dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_mbenv fa_mbsolv fa_pair fa_rep hbond_E_fraction hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb hbonds_int nres_all nres_int omega p_aa_pp packstat per_residue_energy_int pro_close rama ref rmsd sc_value side1_normalized side1_score side2_normalized side2_score description
SCORE: -652.946 14.135 -1.997 -21.073 -1.583 -7.35 -0.552 874.78 1331.53 456.75 7.0 0.146 1.181 0.46 -3.645 -1497.784 301.521 3.88 132.18 416.685 -11.537 198.099 0.475 -11.506 -13.343 -17.663 -206.583 3.0 327.0 58.0 108.106 -7.538 0.0 -1.062 3.187 -27.592 -21.2 0.0 0.0 -1.078 -51.755 -0.981 -9.813 c.11.26
SCORE: -647.277 14.146 -1.979 -20.542 -1.292 -14.641 -0.921 947.32 1589.309 641.989 8.0 0.146 1.195 0.46 -3.659 -1485.503 302.123 3.821 136.014 412.18 -11.446 188.196 0.082 -8.079 -13.121 -21.424 -206.1 1.0 327.0 60.0 111.632 -6.918 0.0 -1.01 3.232 -28.826 -21.2 0.0 0.0 -1.19 -59.523 -0.108 -1.077 c.11.27
SCORE: -651.095 13.833 -1.991 -20.092 -1.502 -15.891 -1.188 866.395 1337.989 471.594 12.0 0.146 1.202 0.46 -3.66 -1491.446 298.818 3.691 132.423 412.678 -11.506 195.924 0.133 -9.744 -13.108 -17.836 -206.788 2.0 327.0 55.0 109.942 -6.547 0.0 -1.024 3.21 -27.754 -21.2 0.0 0.0 -1.105 -49.743 -0.658 -6.581 c.11.28
SCORE: -653.467 14.0 -1.998 -21.547 -1.431 -9.482 -0.63 1019.9 1505.808 485.908 11.0 0.146 1.188 0.457 -3.654 -1494.863 303.063 3.832 131.461 412.454 -12.351 201.866 0.515 -10.812 -14.067 -20.532 -206.807 4.0 327.0 59.0 107.041 -7.151 0.0 -1.256 3.205 -26.74 -21.2 0.0 0.0 -1.341 -65.708 -0.841 -8.406 c.11.29
SCORE: -664.08 14.075 -2.031 -19.301 -1.428 -14.137 -1.046 914.658 1351.795 437.137 9.0 0.146 1.21 0.455 -3.672 -1494.225 295.62 4.115 132.141 416.573 -11.586 186.41 0.067 -8.757 -13.336 -18.19 -206.675 1.0 327.0 57.0 108.979 -7.488 0.0 -1.204 3.221 -27.819 -21.2 0.0 0.0 -1.235 -58.036 -1.057 -10.573 c.11.3
SCORE: -654.755 13.707 -2.002 -18.834 -1.206 -13.104 -0.839 1037.682 1561.456 523.774 7.0 0.146 1.232 0.459 -3.691 -1480.124 298.255 3.683 131.867 411.249 -11.261 183.95 0.259 -8.33 -12.98 -19.823 -206.419 2.0 327.0 51.0 109.848 -7.779 0.0 -1.054 3.181 -27.019 -21.2 0.0 0.0 -1.218 -49.954 -0.382 -3.82 c.11.30
SCORE: -649.924 13.762 -1.988 -16.021 -1.184 -9.067 -0.67 755.981 1352.855 596.874 13.0 0.147 1.199 0.456 -3.653 -1485.045 301.1 3.958 130.723 415.662 -11.226 193.87 0.524 -13.984 -13.07 -17.96 -205.817 3.0 327.0 61.0 107.562 -8.129 0.0 -1.126 3.235 -27.751 -21.2 0.0 0.0 -1.145 -58.379 -1.032 -10.317 c.11.31
SCORE: -637.066 14.341 -1.948 -17.643 -1.315 -1.433 -0.107 892.69 1341.275 448.584 14.0 0.146 1.223 0.461 -3.688 -1498.203 304.635 4.007 132.065 418.008 -11.034 205.522 1.712 -9.696 -13.312 -17.958 -206.733 3.0 327.0 57.0 110.236 -7.003 0.0 -0.938 3.185 -27.728 -21.2 0.0 0.0 -1.046 -49.142 -0.435 -4.352 c.11.32
SCORE: -649.71 13.222 -1.987 -18.876 -1.44 -4.161 -0.317 792.223 1310.908 518.685 7.0 0.146 1.176 0.459 -3.652 -1497.433 304.64 3.607 131.52 415.752 -11.712 200.447 0.922 -8.948 -13.173 -21.044 -206.435 3.0 327.0 56.0 108.413 -7.668 0.0 -0.84 3.139 -27.744 -21.2 0.0 0.0 -0.797 -36.659 -1.039 -10.393 c.11.33
SCORE: -645.613 13.9 -1.974 -17.134 -1.238 -4.857 -0.351 870.442 1384.528 514.086 8.0 0.149 1.212 0.441 -3.634 -1492.415 299.798 3.809 131.584 412.797 -11.416 206.318 0.936 -12.31 -13.271 -18.197 -206.513 3.0 327.0 52.0 110.009 -8.251 0.0 -1.024 3.201 -27.723 -21.2 0.0 0.0 -1.087 -45.667 -0.759 -7.594 c.11.34
